Reference,Nat./Syn.,Spec.,Var.,Shape,Weight,Color,Type,Nitrogen,Hydrogen,Platelets,Fluorsence,Treatment,Origin,Cert,Note,MFG.,DQS,Expected_L_Features,L_Crest_FWHM,Expected_B_Features,Expected_U_Features
104,Syn,Glass,Green,Triangle,,Green,,,,,,,Allanite,,,,,,,nan,
105,Nat.,Garnet,Rhodolite,Rough,,Purplish red,,,,,,,,,,,,,,nan,
106,Nat.,Garnet,Rhodolite,Rough,,Purplish red,,,,,,,,,,,,,,nan,
107,Nat.,Garnet,Rhodolite,Rough,,Purplish red,,,,,,,,,,,,,,nan,
108,Syn. ,Garnet,Green,Rough,,Green,,,,,,,Ramura,,,,,,,nan,
109,Syn.,Garnet,Green,OvCushion,,Green,,,,,,,,,,,,,,nan,
110,Nat.,Garnet,Green,Rough,,Green,,,,,,,,,,,,,,nan,
111,Syn.,Beryl/Emerald,Emerald,Oval,,Green,,,,,,,Kyosera,,,,,,,nan,
112,Syn.,Beryl/Emerald,Emerald,Emerald,,Green,,,,,,,Biron,,,,,,,nan,
113,Syn.,Beryl/Emerald,Emerald,Emerald,,Green,,,,,,,Gilson,,,,,,,nan,
114,Syn.,Beryl/Emerald,Emerald,Emerald,,Green,,,,,,,Gilson,,,,,,,nan,
115,Syn.,Beryl/Emerald,Emerald,Emerald,,Green,,,,,,,Gilson,,pair 601,,,,,nan,
116,Syn.,Beryl/Emerald,Emerald,Round,,Green,,,,,,,Regency,,,,,,,nan,
117,Man-made,Glass,Green,Oval,,Green,,,,,,,,,,,,,,nan,
118, Nat.,Beryl/Emerald,Emerald,SQ, ,Green, ,,,,, ,,,,,,,,nan,
119, Nat.,Beryl/Emerald,Emerald,Shield, ,Green, ,,,,, ,African,,,,,"716C, 686S",,nan,
120,Nat.,Beryl/Emerald,Emerald,SQ,,Green,,,,,,,Zambia,,,,,,,nan,
121,Nat.,Beryl/Emerald,Emerald,SQ,,Green,,,,,,,Madagas,,,,,,,nan,
122,Nat.,Beryl/Emerald,Emerald,emerald,,Green,,,,,,,,,,,,,,nan,
123,Syn.,Beryl/Emerald,Emerald,Round,,Green,,,,,,,Chatham,,,,,,,nan,
124,Syn.,Beryl/Emerald,Emerald,Emerald,,Green,,,,,,,Chatham,,,,,,,nan,
125,Syn.,Beryl/Emerald,Emerald,Oval,,Green,,,,,,,Chatham,,,,,,,nan,
126,Syn.,Beryl/Emerald,Emerald,Rough,,Green,,,,,,,Chatham,,,,,,,nan,
127,Syn.,Beryl/Emerald,Emerald,Round,,Green,,,,,,,Biron,,,,,,,nan,
128,Syn.,Beryl/Emerald,Emerald,Marquie,,Green,,,,,,, ,,,,,,,nan,
129,Syn.,Beryl/Emerald,Emerald,Emerald,,Green,,,,,,,Regency,,,,,,,nan,
130,Nat.,Garnet,Almandite,Oval,,Red,,,,,,,,,,,,,,nan,
131,Nat.,Quartz,Citrine,SQStep,,Orange,,,,,,,,,,,,,,nan,
132,Nat.,Corundum/Sapphire,Sapphire,SQ,,Blue,,,,,,,,,,,,,,nan,
133,Cultured ,Pearl,South Sea,Bead,,Golden,,,,,,None,,,Saltwater,,,,,nan,
134,Man-Made,Pearl, ,Bead,,Golden,,,,,,,,,,,,,,nan,
135,Cultured ,Pearl,South Sea,Bead,,Golden,,,,,,None,,,Saltwater,,,,,nan,
136,Man-Made,Pearl, ,Bead,,Golden,,,,,,,,,,,,,,nan,
137,Cultured ,Pearl,Black,Bead,,Black,,,,,,TC,,,Saltwater,,,,,nan,
138,Cultured ,Pearl,Blue,Bead,,Blue,,,,,,TC,,,Saltwater,,,,,nan,
139,Nat.,Garnet,Pyrope,Triangle,,Red,,,,,,,,,,,,,,nan,
140,Nat.,Diamond,  ,,0.492,,A>B,VH,VL,H,FT,,,,,,,"431P, 439P, 452P, 504P, 513P, 520P, 684C, 445V, 496V, 617V",,672P:51526:0,"365P, 404P, 408P, 435P, 546P, 577P, 579P, 696P, 707P, 738P, 751P, 763P, 772P, 794P, 801P, 811P"
141,Nat.,Quartz,Citrine,SQ,,br.Yellow,,,,,,,,,,,,,,nan,
142,Nat.,Quartz,Citrine,Oval,,Yellow,,,,,,,,,,,,,,nan,
143,Nat.,Corundum,Ruby,Round,,Red,,,,,,,,,,,,,,nan,
144,Nat.,Topaz,Blue,Oval,,Blue,,,,,,Irrad.,,,,,,,,nan,
145,Syn.,Cubic Zirconia,YOr,RBC,,YOr,,,,,,,,,,,,,,nan,
146,Nat.,Corundum,Orange Sapphire,Emerald,,Orange,,,,,,,,,,,,,,nan,
147,Nat.,Quartz,Amethyst,Oval,,Purple,,,,,,,,,,,,,,nan,
148,Nat. ,Beryl/Aqua,Aquamarine,Emerald,,gnBl,,,,,,None,,,,,,,,nan,
149,Syn.,Cubic Zirconia,Pink,RBC,,Pink,,,,,,,,,,,,,,nan,
150,Syn.,Cubic Zirconia,Green,RBC,,Green,,,,,,,,,,,,,,nan,
151,Nat.,Amber,Orange,Free Form,,Orange,,,,,,,,,,,,,,nan,
152,Nat.,Amber,Orange,Free Form,,Orange,,,,,,,,,,,,,,nan,
153,Nat.,Amber,Orange,Free Form,,Orange,,,,,,,,,,,,,,nan,
154,Nat.,Amber,Orange,Oval,,Orange,,,,,,,,,,,,,,nan,
155,Nat.,Amber,Orange,Free Form,,Orange,,,,,,,,,,,,,,nan,
156,Nat.,Kyanite,Blue,OvCab,,Blue,,,,,,,,,pair 619,,,,,nan,
157,Nat.,Kyanite,Blue,Bead,,Blue,,,,,,Stabilized,,,pair 620,,,,,nan,
158,Syn.,Quartz,Colorless,Sq Cushion,,Colorless,,,,,,,,,,,,,,nan,
159,Syn.,Quartz,Yellow,Bead,,Yellow,,,,,,,,,,,,,,nan,
160,Nat.,Corundum,Ruby,Oval,,Red,,,,,,?Be?,,,,,,,,nan,
161,Nat.,Apatite,Blue,Bead, ,Blue,,,,,,,,,pair 622,,,,,nan,
162,Nat.,Corundum,Yellow Sapphire,Oval,,Yellow,,,,,,,,,,,,,,nan,
163,Nat.,Corundum,Orange-Pink Sapphire,Heart,,Orange-Pink,,,,,,,,,,,,,,nan,
164,Nat.,Corundum,Yellow Sapphire,Heart,,Yellow,,,,,,,,,,,,,,nan,
165,Nat.,Prenite,Colorless,Rough,,Colorless,,,,,,,,,,,,,,nan,
166,Nat.,Quartzite,Green,Cab.,,Green,,,,,,Dyed,,,pair 618,,,,,nan,
167,Nat.,Quartzite,Yellow,Bead,,lt. Yellow,,,,,,Dyed,,,,,,,,nan,
168,Nat.,Labradorite,Colorless,Bead,,Colorless,,,,,,,,,pair 621,,,,,nan,
169,Nat.,Quartzite,Green,Round,,Green,,,,,,Dyed,,,,,,,,nan,
170,Syn.,Quartz,Yellow,Bead,,lt. Yellow,,,,,,,,,,,,,,nan,
171,Syn.,Imitation Turquoise,,Rough,,Blue,,,,,,,,,,,,,,nan,
172,Nat.,Diaspore/Zultanite,Zultanite,Oval,,Yellow,,,,,,,,,,,,,,nan,
173,Nat.,Topaz,Colorless,Bead,,Colorless,,,,,,,,,,,,,,nan,
174,Nat.,Amber,Orange,OvCab,,Orange,,,,,,,,,,,,,,nan,
175,Nat.,Jade/Nephrite,Green,Bead,,Green,,,,,,,,,pair 532,,,,,nan,
176,Nat.,Labradorite,,Cab,,Gray,,,,,,,,,,,,,,nan,
177,Nat.,Opal,Pink,MqCab,,Pink,,,,,,,,,,,,,,nan,
178,Syn.,Opal,Blue-Green,OvCab,,Blue-Green,,,,,,,Gilson,,,,,,,nan,
179,Man-made,Opal,White,Tab.,,,,,,,,,,,,,,,,nan,
180,Man-made,Corundum,Sapphire,Oval Doublet,,Blue,,,,,,Doublet,,,,,,,,nan,
181,Nat.,Opal,Fire,MQ,,Orange,,,,,,,,,,,,,,nan,
182,Nat.,Beryl/Emerald,Emerald,Round,,Green,,,,,,,Sandawana,,,,,,,nan,
183,Nat.,Zoisite/Tanzanite,Tanzanite,Oval,,vBl,,,,,,,,,,,,,,nan,
184,Nat.,Zoisite ,Tanzanite,Oval,,VBl,,,,,,,,,,,,,,nan,
185,Nat.,Corundum,Sapphire,Oval,,Blue,,,,,,,,,,,,,,nan,
186,Nat.,Corundum,Sapphire,Oval,,Blue,,,,,,,Thai,,Mag.,,,,,nan,
187,Nat.,Corundum,Pink Sapphire,Oval,,Pink,,,,,,,,,,,,,,nan,
188,Syn (FF),Corundum,Sapphire,Round,,Blue,,,,,,,,,pair 82, ,,,,nan,
189,Syn (CVD),Diamond,,RBC,0.237,,2A,,,,,HEATED,CVD,LGG1002403,CVD-LA,PureGrown,,,,nan,
190,Syn (CVD),Diamond,,RBC,0.135,,2A,,,,PHOSPHO,HEATED,CVD,,,PureGrown,,,,nan,
191,Nat.,Diamond,,RBC,0.168,,AB,VH,NO,L,N,,None,,,,,,,nan,
192,Nat.,Diamond,,RBC,0.199,,AB,VH,NO,M,N,,None,,,,,,,nan,
193,Nat.,Diamond,,RBC,0.193,,A>>B,L ,VL,VL,SB,,None,,,,,,,nan,
194,Nat.,Diamond,,RBC,0.173, ,AB,H,VL,M,FTY,,None,,,,,,,nan,
195,Nat.,Diamond,,RBC,0.179,,AB,VH,NO,M,N,,None,,,,,,,nan,
196,Nat.,Diamond,,RBC,0.716,Colorless,A=B,VH,VL,VH,SB,,None,,,,,,,nan,
197,Nat.,Diamond,,RBC,0.481,,B>>A,M,VL,M,SB,,None,,,,,,,nan,
198,Syn.,Turquise,Blue,OvCab,,lt.Blue,,,,,,,,,,,,,,nan,
199,Nat.,Diamond,,RBC,0.145,Colorless,A>B,H,VL,L,,,None,,,,,,,nan,
200,Nat.,Diamond,,RBC,0.36,Colorless,2A,,,,,,None,,,,,,,nan,
201,Nat.,Zoisite/Tanzanite,Tanzanite,Oval,,bV,,,,,,Heated,,,,,,,,nan,
202,Nat.,Zoisite ,Tanzanite,Oval,,VBl,,,,,,Heated,,,,,,,,nan,
203,Nat.,Beryl/Emerald,Emerald,Oval,,Green,,,,,,,Zambia,,,,,,,nan,
204,Nat.,Diamond,,RBC,0.484,Colorless,B>A,M,VL,H,MB,,,,,,,,,nan,
205,Culture,Pearl,Golden,bead,,Golden,,,,,,TC,South Sea,, ,,,,,nan,
206,Culture,Pearl,Golden,bead,,Golden,,,,,,TC,South Sea,,,,,,,nan,
207,Nat.,Corundum,Ruby,Round,,Red,,,,,,,Mozam,,Gemfield,,,,,nan,
208,Nat.,Corundum,Ruby,Round,,Red,,,,,,,Mozam,,Gemfield,,,,,nan,
209,Syn.,Moissanite,Colorless,RBC,,Colorless,,,,,,,,,,,,,,nan,
210,Syn.,Cobic Zirconia,Colorless,RBC,,Colorless,,,,,,,,,,,,,,nan,
211,Syn.,Cubic Zirconia,Colorless,RBC,,Colorless,,,,,,,,,,,,,,nan,
212,Syn.,Garnet,YAG,RBC,,Colorless,,,,,,,,,,,,,,nan,
213,Nat.,Diamond,,RBC,0.177,,A>B,VH,N,L,,,,,,,,,,nan,
214,Nat.,Diamond,,RBC,0.458,,B>A,M,L,M,SB,,,,,,,,,nan,
215,Syn.,Turquise,Blue,OvCab,,lt.Blue,,,,,,,,,,,,,,nan,
216,Nat.,Corundum,Sapphire,RBC,,,,,,,,Heated,,,,,,,,nan,
217,Nat.,Diamond,,RBC,0.165,,A>B,VH,L,L,,,,,,,,,,nan,
218,Nat.,Diamond,,RBC,0.177,,A=B,VH,N,H,N,,,,,,,"431P, 439P, 452P, 862P, 444V",,"415T, 672C","365P, 404P, 408P, 436P, 546P, 577P, 579P, 696P, 707P, 730P, 738P, 751P, 763P, 772P, 795P, 801P, 811P, 840P, 842P, 871P, 912P, 923P"
219,Nat.,Diamond,,RBC,0.004,,B>A,VL,L,,,,,,,,,,,nan,
220,Nat.,Quartz,Citrine,Sq,,Yellow,,,,,,,,,,,,,,nan,
221,Nat.,Quartz,Citrine,Sq,,Yellow,,,,,,,,,,,,,,nan,
222,Nat.,Quartz,Citrine,Sq,,Yellow,,,,,,,,,,,,,,nan,
223,Syn (CVD),Diamond,,RBC,0.13,Colorless,2a,,,,,,,,,Puregrown,StgwGn,,,nan,
224,Nat.,Diamond,,RBC,0.283,"FIB, TC",AB,VH,VL,VH,N,IRRAD,,,,,,,,nan,
225,Syn.,Spinel,Blue,Round,,Blue,,,,,,,,,,,,,,nan,
226,Nat.,Beryl/Emerald,Emerald,Round,,Green,,,,,,oil,Zambian,,,,,,,nan,
227,Syn.,Cubic Zirconia,Yellow,RBC,,Yellow,,,,,,,,,,,,,,nan,
228,Syn.,Quartz,Amethyst,Bead,,Purple,,,,,,,,,,,,,,nan,
229,Syn.,Cubic Zirconia,Purple,RBC,,Purple,,,,,,,,,,,,,,nan,
230,Man-made,Glass,Blue,Cube,,Blue,,,,,,,,,,,,,,nan,
231,Syn.,Cubic Zirconia,Blue,RBC,,Blue,,,,,,,,,,,,,,nan,
232,Syn.,Cubic Zirconia,Yellow,RBC,,Yellow,,,,,,,,,,,,,,nan,
233,Syn.,Cubic Zirconia,Orange,RBC,,Orange,,,,,,,,,,,,,,nan,
234,Syn.,Cubic Zirconia,v.OrRd,RBC,,v.OrRd,,,,,,,,,,,,,,nan,
235,Syn.,Cubic Zirconia,Yellow,RBC,,Yellow,,,,,,,,,,,,,,nan,
236,Culture,Pearl,White,Bead,,White,,,,,,None,,,Saltwater,,,,,nan,
237,Man-Made,Pearl, ,Bead,,White,,,,,,,,,,,,,,nan,
238,Syn.,Cubic Zirconia,v.OrRd,RBC,,v.OrRd,,,,,,,,,,,,,,nan,
239,Culture,Pearl,Yellow,Bead,,Yellow,,,,,,None,,,Saltwater,,,,,nan,
240,Culture,Pearl,Grey,Bead,,Grey,,,,,,None,,,Saltwater,,,,,nan,
241,Syn.,Cubic Zirconia,Yellow,RBC,,Yellow,,,,,,,,,,,,,,nan,
242,Nat.,Corundum/Ruby,Ruby,Oval,,Red,,,,,,Heat,Mozambique,,Gemfield,,,,,nan,
243,Nat.,Garnet,Tsavorite,Cushion,,Green,,,,,,,,,,,,,,nan,
244,Nat.,Garnet,Tsavorite,Round,,Green,,,,,,,,,,,,,,nan,
245,Nat.,Garnet,Spessartite,Oval,,Dk Orange,,,,,,,,,,,,,,nan,
246,Nat.,Garnet,Spessartite,Oval,, Orange,,,,,,,,,,,,,,nan,
247,Nat.,Garnet,Spessartite,Oval,, Orange,,,,,,,,,,,,,,nan,
248,Nat.,Corundum/Ruby,Ruby,Round,,Red,,,,,,Heated,Burma,,,,,,,nan,
249,Nat.,Beryl,Emerald,Round,,Green,,,,,,,Africa,,,,,,,nan,
250,Nat.,Beryl/Emerald,Emerald,Oval,,Green,,,,,,,,,,,,,,nan,
251,Nat./Syn.,Corundum,Orange Sapphire,Oval,,Orange,,,,,,,,,,,,,,nan,
252,Nat.,Corundum,Green Sapphire,Oval,,Green,,,,,,Heated,,,,,,,,nan,
253,Nat.,Corundum/Sapphire,Sapphire,Oval,,lt. Blue,,,,,,Heated,Sri Lanka,,,,,,,nan,
254,Cultured,Pearl,White,Bead,,White,,,,,,,,,Saltwater,,,,,nan,
255,Cultured,Pearl,White,Bead,,White,,,,,,,,,Saltwater,,,,,nan,
256,Cultured,Pearl,White,Bead,,White,,,,,,,,,Saltwater,,,,,nan,
257,Cultured,Pearl,White,Bead,,White,,,,,,,,,Saltwater,,,,,nan,
258,Cultured,Pearl,White,Bead,,White,,,,,,,,,Saltwater,,,,,nan,
259,Cultured,Pearl,White,Bead,,White,,,,,,,,,Saltwater,,,,,nan,
260,Cultured,Pearl,White,Bead,,White,,,,,,None,,,Saltwater,,,,,nan,
261,Syn.,Corundum,Star Sapphire,RdCab,,Blue,,,,,,,,,,,,,,nan,
262,Syn. (FF),Corundum/Ruby,Ruby,SQ,,Red,,,,,,,,,,,,,,nan,
263,Cultured,Pearl,Blue,Bead,,Blue,,,,,,TC,,Gia2205519545,Saltwater,,,,,nan,
264,Cultured,Pearl,Blue,Bead,,Blue,,,,,,TC,,,Saltwater,,,,,nan,
265,Cultured,Pearl,Grey,Bead,,Grey,,,,,,,,,Saltwater,,,,,nan,
266,Nat. ,Garnet,Rhodolite,Oval,,Purpish red,,,,,,,,,,,,,,nan,
267,Nat.,Garnet,Rhodolite,Oval,,Reddish Purple,,,,,,,,,,,,,,nan,
268,Nat.,Topaz,Pink,Oval,,V.Lt Pink,,,,,,,,,,,,,,nan,
269,Syn.,Cubic Zirconia,Colorless,RBC,,Colorless,,,,,,,,,coated?,,,,,nan,
270,Syn.,Garnet,YAG,RBC,,Colorless,,,,,,,,,,,,,,nan,
271,Nat.,Diamond,,,0.005,Colorless,,,,,,,,,741 nm,,,,,nan,
272,Nat.,Quartz,Citrine,Round,,Yellow,,,,,,,,,,,,,,nan,
273,Nat.,Quartz,Adventurine,Round,,Green,,,,,,,,,,,,,,nan,
274,Syn.,Cubic Zirconia,Colorless,RBC,,Colorless,,,,,,,,,coated?,,,,,nan,
275,Syn. (FF),Corundum,Sapphire,Oval,,Blue,,,,,,,,,,,,,,nan,
276,Nat.,Quartzite,Colorless,Carving,,Colorless,,,,,,,,,,,,,,nan,
277,Nat.,Quartzite,Colorless,Carving,,Colorless,,,,,,,,,,,,,,nan,
278,Nat.,Quartzite,Green,Carving,,Green,,,,,,Dyed,,,,,,,,nan,
279,Syn ,Spinel,Blue,Round,,Blue,,,,,,,,,,,,,,nan,
280,Syn.,Garnet,YAG,RBC,,Colorless,,,,,,,,,,,,,,nan,
281,Nat.,Quartz,Chaldony,Round,,Colorless,,,,,,,,,,,,,,nan,
282,Nat.,Quartz,Rose,Round,,v. lt Pink,,,,,,,,,,,,,,nan,
283,Nat.,Quartz,Rutile,Round,,Colorless,,,,,,,,,,,,,,nan,
